İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
Kopyalandı35834614,14 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,2014,277.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,560000.0
Kopyalandı35847755,15 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression,2018,141.000 km,Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,1145000.0
Kopyalandı35847750,15 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Sprint,2020,69.700 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1399900.0
Kopyalandı29282145,15 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,300.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 2 boyalı",Takasa Uygun,Sahibinden,İkinci El,588000.0
Kopyalandı35841838,15 Aralık 2025,Alfa Romeo,MiTo,1.3 JTD City,2012,151.000 km,Düz,Dizel,Hatchback/3,Bej,1248 cc,95 hp,Önden Çekiş,"4,3 lt",45 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,525000.0
Kopyalandı35848961,15 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2006,214.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,İkinci El,390000.0
Kopyalandı35342334,15 Aralık 2025,Alfa Romeo,156,1.6 TS Progression,2001,370.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,229000.0
Kopyalandı35689742,15 Aralık 2025,Alfa Romeo,MiTo,1.3 JTD City,2014,146.000 km,Düz,Dizel,Hatchback/3,Kahverengi,1248 cc,95 hp,Önden Çekiş,"4,3 lt",45 lt,"1 değişen, 11 boyalı",Takasa Uygun,Galeriden,İkinci El,675000.0
Kopyalandı35821775,14 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,225.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"4 değişen, 2 boyalı",,Sahibinden,İkinci El,650000.0
Kopyalandı35312685,14 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,213.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,699000.0
Kopyalandı32662661,14 Aralık 2025,Alfa Romeo,159,1.9 JTS Distinctive,2008,330.000 km,Düz,Benzin,Sedan,Siyah,1801 - 2000 cm3,151 - 175 HP,Önden Çekiş,,,"2 değişen, 9 boyalı",Takasa Uygun,Galeriden,İkinci El,630000.0
Kopyalandı35787193,13 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2018,114.500 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,1 boyalı,,Sahibinden,İkinci El,1275000.0
Kopyalandı35211149,13 Aralık 2025,Alfa Romeo,Giulia,2.0 T Veloce,2022,73.210 km,Otomatik,Benzin,Sedan,Siyah,1995 cc,280 hp,4WD (Sürekli),"7,7 lt",58 lt,"1 değişen, 2 boyalı",Takasa Uygun,Yetkili Bayiden,İkinci El,2800000.0
Kopyalandı35784222,13 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,282.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,656900.0
Kopyalandı35784221,13 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,97.000 km,Düz,Benzin,Hatchback/5,Gri,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden,İkinci El,875000.0
Kopyalandı35784220,13 Aralık 2025,Alfa Romeo,156,2.0 TS,1999,250.000 km,Düz,LPG & Benzin,Sedan,Lacivert,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,11 boyalı,Takasa Uygun,Galeriden,İkinci El,255000.0
Kopyalandı35784219,13 Aralık 2025,Alfa Romeo,146,1.6 L,1996,329.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,179000.0
Kopyalandı35784217,13 Aralık 2025,Alfa Romeo,147,1.6 TS Distinctive,2005,207.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,410000.0
Kopyalandı35782543,13 Aralık 2025,Alfa Romeo,156,2.0 TS,1999,275.000 km,Düz,LPG & Benzin,Sedan,Gri,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,İkinci El,260000.0
Kopyalandı35232834,13 Aralık 2025,Alfa Romeo,156,1.6 TS,1999,296.000 km,Düz,LPG & Benzin,Sedan,Füme,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Tamamı boyalı,Takasa Uygun,Galeriden,İkinci El,300000.0
Kopyalandı35284584,13 Aralık 2025,Alfa Romeo,Giulia,2.0 T Veloce,2022,40.000 km,Otomatik,Benzin,Sedan,Mavi,1995 cc,280 hp,4WD (Sürekli),"7,7 lt",58 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,3099000.0
Kopyalandı34126502,13 Aralık 2025,Alfa Romeo,Giulietta,1.6 JTD Progression,2016,169.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,970000.0
Kopyalandı34126499,13 Aralık 2025,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,197.700 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,899900.0
Kopyalandı32745893,13 Aralık 2025,Alfa Romeo,159,1.8 MPI Distinctive Plus,2008,268.000 km,Düz,LPG & Benzin,Sedan,Gri,1601 - 1800 cm3,126 - 150 HP,Önden Çekiş,,,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,530000.0
