Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Çekiş,Fiyat,Motor_Hacmi_CC,Motor_Gucu_HP,Degisen_Parca,Boyali_Parca
Alfa Romeo,MiTo,1.3 JTD City,2012,151000.0,Düz,Dizel,Hatchback/3,Bej,Önden Çekiş,525000.0,1248.0,95.0,0,4
Alfa Romeo,MiTo,1.3 JTD City,2014,146000.0,Düz,Dizel,Hatchback/3,Kahverengi,Önden Çekiş,675000.0,1248.0,95.0,1,11
Alfa Romeo,MiTo,1.3 JTD City,2013,97000.0,Düz,Dizel,Hatchback/3,Beyaz,Önden Çekiş,695000.0,1248.0,95.0,0,2
Alfa Romeo,145,1.4,1998,298000.0,Düz,Benzin,Hatchback/3,Yeşil (metalik),Önden Çekiş,210000.0,1351.0,90.0,0,0
Alfa Romeo,145,1.4,1995,440000.0,Düz,LPG & Benzin,Hatchback/3,Kırmızı,Önden Çekiş,249999.0,1351.0,90.0,0,0
Alfa Romeo,MiTo,1.4 T Progression,2009,270000.0,Düz,Benzin,Hatchback/3,Beyaz,Önden Çekiş,550000.0,1368.0,155.0,0,0
Alfa Romeo,MiTo,1.4 T Progression,2009,279000.0,Düz,Benzin,Hatchback/3,Beyaz,Önden Çekiş,457000.0,1368.0,155.0,0,12
Alfa Romeo,Giulietta,1.4 TB Distinctive,2011,291000.0,Düz,Benzin,Hatchback/5,Beyaz,Önden Çekiş,555555.0,1368.0,120.0,0,0
Alfa Romeo,Giulietta,1.4 TB Distinctive,2011,341000.0,Düz,Dizel,Hatchback/5,Beyaz,Önden Çekiş,550000.0,1368.0,120.0,2,10
Alfa Romeo,Giulietta,1.4 TB Distinctive,2011,215000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,Önden Çekiş,575000.0,1368.0,120.0,0,0
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,225000.0,Düz,Benzin,Hatchback/5,Kırmızı,Önden Çekiş,650000.0,1368.0,170.0,4,2
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,97000.0,Düz,Benzin,Hatchback/5,Gri,Önden Çekiş,875000.0,1368.0,170.0,1,5
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,197700.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,899900.0,1368.0,170.0,0,4
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2014,155000.0,Otomatik,Benzin,Hatchback/5,Gri,Önden Çekiş,910000.0,1368.0,170.0,1,4
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2015,154500.0,Otomatik,Benzin,Hatchback/5,Gri,Önden Çekiş,1095000.0,1368.0,170.0,0,7
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,197913.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,785000.0,1368.0,170.0,0,7
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,178000.0,Otomatik,Benzin,Hatchback/5,Gri,Önden Çekiş,778000.0,1368.0,170.0,3,6
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,154000.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,899750.0,1368.0,170.0,0,4
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,236000.0,Otomatik,Benzin,Hatchback/5,Siyah,Önden Çekiş,749000.0,1368.0,170.0,0,9
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2015,126000.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,1079000.0,1368.0,170.0,2,0
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,232000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,Önden Çekiş,650000.0,1368.0,170.0,0,6
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,142000.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,Önden Çekiş,855000.0,1368.0,170.0,0,0
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,213000.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,745000.0,1368.0,170.0,0,0
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2013,192000.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,908000.0,1368.0,170.0,0,4
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2014,185000.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,Önden Çekiş,930000.0,1368.0,170.0,0,0
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2015,153600.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,790000.0,1368.0,170.0,0,5
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,162000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,Önden Çekiş,860000.0,1368.0,170.0,2,1
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2012,174000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,Önden Çekiş,810000.0,1368.0,170.0,2,10
