İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
40177059,04 Mayıs 2026,Acura,ILX,2.0,2014,91.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1997 cc,152 hp,Önden Çekiş,"8,4 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,İkinci El,950000.0
38973697,02 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB Progression Plus,2011,144.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,120 hp,Önden Çekiş,"6,4 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,860000.0
38973670,01 Mayıs 2026,Alfa Romeo,156,2.0 TS,1998,272.750 km,Düz,LPG & Benzin,Sedan,Mavi,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,"3 değişen, 8 boyalı",Takasa Uygun,Galeriden,İkinci El,299900.0
40428191,14 Mayıs 2026,Alfa Romeo,156,2.0 TS Executive,1999,338.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,Belirtilmemiş,,Sahibinden,İkinci El,140000.0
40421616,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,101.000 km,Düz,Dizel,Hatchback/5,Füme,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Tamamı orjinal,,Sahibinden,İkinci El,880000.0
40420290,13 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2004,300.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,İkinci El,270000.0
40413676,13 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2014,168.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,İkinci El,990000.0
40404685,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,238.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,6 boyalı,,Sahibinden,İkinci El,738000.0
40412677,13 Mayıs 2026,Alfa Romeo,156,2.0 TS Executive,2002,340.000 km,Düz,LPG & Benzin,Sedan,Füme,1970 cc,155 hp,Önden Çekiş,"8,5 lt",63 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,259000.0
40396728,13 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2006,47.000 km,Düz,Benzin,Sedan,Şampanya,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,Belirtilmemiş,,Sahibinden,İkinci El,700000.0
36739392,13 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2006,224.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,"5 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,409000.0
40025885,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2016,199.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,1120000.0
40025852,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,160.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,820000.0
40025840,13 Mayıs 2026,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,97.000 km,Düz,Benzin,Hatchback/5,Gri,1368 cc,170 hp,Önden Çekiş,"5,8 lt",60 lt,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden,İkinci El,900000.0
40025829,13 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive Plus,2010,292.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1910 cc,150 hp,Önden Çekiş,"7,1 lt",70 lt,6 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,815000.0
40025822,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2015,255.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,749000.0
40025821,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,234.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"3 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,775000.0
39649239,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,175.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 7 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,780000.0
40025828,13 Mayıs 2026,Alfa Romeo,156,1.6 TS Distinctive,2006,240.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"8,2 lt",63 lt,12 boyalı,Takasa Uygun,Galeriden,İkinci El,335900.0
40025797,13 Mayıs 2026,Alfa Romeo,147,1.6 TS Progression,2007,285.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,309000.0
40021625,13 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive,2008,314.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,"2 boyalı, 2 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,700000.0
40410261,13 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Progression,2017,238.000 km,Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,Tamamı orjinal,,Sahibinden,İkinci El,980000.0
40401371,12 Mayıs 2026,Alfa Romeo,147,1.6 TS Progression,2008,260.500 km,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1598 cc,105 hp,Önden Çekiş,"8,1 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,340000.0
37523059,12 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,241.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 1 boyalı",,Sahibinden,İkinci El,750000.0
40390927,12 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,165.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,730000.0
39620206,12 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2005,290.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,315000.0
35593912,11 Mayıs 2026,Alfa Romeo,147,1.6 TS Distinctive,2004,260.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"8,2 lt",60 lt,"2 değişen, 10 boyalı",Takasa Uygun,Sahibinden,İkinci El,329000.0
39589574,11 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,240.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 2 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,938000.0
40025873,11 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive Plus,2008,292.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,"1 değişen, 12 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,638000.0
29914020,11 Mayıs 2026,Alfa Romeo,156,1.6 TS,2001,290.000 km,Düz,LPG & Benzin,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı boyalı,Takasa Uygun,Galeriden,İkinci El,275000.0
40353809,11 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTDM-2 Progression,2016,148.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,5 lokal boyalı,,Sahibinden,İkinci El,995000.0
40345494,10 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2011,234.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,7 boyalı,,Sahibinden,İkinci El,755000.0
40339034,10 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive Plus,2008,256.600 km,Otomatik,Dizel,Sedan,Siyah,-,-,-,,,Belirtilmemiş,-,Sahibinden,İkinci El,650000.0
38128690,10 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2014,279.500 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,2 boyalı,,Sahibinden,İkinci El,630000.0
39946445,10 Mayıs 2026,Alfa Romeo,Giulia,2.0 T Sprint,2020,27.000 km,Otomatik,Benzin,Sedan,Kırmızı,1995 cc,200 hp,Arkadan İtiş,"7,1 lt",58 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,2750000.0
39563611,10 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2016,148.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,120 hp,Önden Çekiş,"3,9 lt",60 lt,"1 boyalı, 2 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1060000.0
39533889,10 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive,2007,313.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1910 cc,150 hp,Önden Çekiş,"7,1 lt",70 lt,"2 değişen, 9 boyalı",Takasa Uygun,Galeriden,İkinci El,560000.0
38178417,10 Mayıs 2026,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,230.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,9 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,515000.0
39563616,10 Mayıs 2026,Alfa Romeo,159,1.9 JTD Distinctive Plus,2008,365.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,520000.0
