İlan No,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Çekiş,Fiyat,Motor_Hacmi_CC,Motor_Gucu_HP,Degisen_Parca,Boyali_Parca
40177059,Acura,ILX,2.0,2014,91000.0,Otomatik,LPG & Benzin,Sedan,Beyaz,Önden Çekiş,950000.0,1997.0,152.0,0,0
33807239,Acura,MDX,3.5,2013,402000.0,Otomatik,Benzin,SUV,Beyaz,AWD (Elektronik),3150000.0,3250.5,288.0,0,0
39855717,Alfa Romeo,Junior Ibrida,1.2 Ibrida,2025,13000.0,Yarı Otomatik,Benzin,SUV,Siyah,Önden Çekiş,2050000.0,1199.0,136.0,0,0
39229705,Alfa Romeo,Junior Ibrida,1.2 Ibrida,2024,24000.0,Yarı Otomatik,Benzin,SUV,Kırmızı,Önden Çekiş,1650000.0,1199.0,136.0,0,0
37680378,Alfa Romeo,Junior Ibrida,1.2 Ibrida,2025,11036.0,Yarı Otomatik,Benzin,SUV,Siyah,Önden Çekiş,2055000.0,1199.0,136.0,0,0
38280109,Alfa Romeo,Junior Ibrida,1.2 Ibrida,2025,10180.0,Yarı Otomatik,Benzin,SUV,Gri,Önden Çekiş,2065000.0,1199.0,136.0,0,0
39627635,Alfa Romeo,Junior Ibrida,1.2 Ibrida,2024,18500.0,Yarı Otomatik,Hibrit,SUV,Beyaz,Önden Çekiş,1800000.0,1199.0,136.0,0,0
34904981,Alfa Romeo,Junior Ibrida,1.2 Ibrida,2024,10600.0,Yarı Otomatik,Hibrit,SUV,Mavi (metalik),Önden Çekiş,1765000.0,1199.0,136.0,0,0
40068951,Alfa Romeo,Junior Ibrida,1.2 speciale,2024,8000.0,Yarı Otomatik,Hibrit,SUV,Mavi,Önden Çekiş,1945000.0,1199.0,136.0,0,0
39545391,Alfa Romeo,Junior Ibrida,1.2 speciale,2024,17315.0,Yarı Otomatik,Hibrit,SUV,Gri,Önden Çekiş,1780000.0,1199.0,136.0,0,0
39444601,Alfa Romeo,Junior Ibrida,1.2 speciale,2025,11000.0,Yarı Otomatik,Hibrit,SUV,Beyaz,Önden Çekiş,2065000.0,1199.0,136.0,0,0
39258200,Alfa Romeo,Junior Ibrida,1.2 speciale,2025,47900.0,Yarı Otomatik,Hibrit,SUV,Gri,Önden Çekiş,1799000.0,1199.0,136.0,0,0
38186158,Alfa Romeo,Junior Ibrida,1.2 speciale,2024,28202.0,Yarı Otomatik,Hibrit,SUV,Kırmızı,Önden Çekiş,1840000.0,1199.0,136.0,0,0
39841487,Alfa Romeo,Junior Ibrida,1.2 speciale,2024,27000.0,Yarı Otomatik,Hibrit,SUV,Mavi (metalik),Önden Çekiş,1925000.0,1199.0,136.0,0,0
39619611,Alfa Romeo,Junior Ibrida,1.2 speciale,2024,26500.0,Yarı Otomatik,Hibrit,SUV,Mavi,Önden Çekiş,1849000.0,1199.0,136.0,0,0
